unit,series,year,mark_scheme,title,url
Unit4,Summer,2026,0,"Unit 4, (With calculator) Discrete and Decision Mathematics",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2026-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2026-Unit%204%2C%20%28With%20calculator%29%20Discrete%20and%20Decision%20Mathematics-Paper.pdf
Unit3,Summer,2026,0,"Unit 3, (With calculator) Statistics",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2026-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2026-Unit%203%2C%20%28With%20calculator%29%20Statistics-Paper.pdf
Unit2,Summer,2026,0,"Unit 2, (With calculator) Mechanics",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2026-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2026-Unit%202%2C%20%28With%20calculator%29%20Mechanics-Paper.pdf
Unit1,Summer,2026,0,"Unit 1, (With calculator) Pure Mathematics",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2026-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2026-Unit%201%2C%20%28With%20calculator%29%20Pure%20Mathematics-Paper.pdf
Unit4,Summer,2025,1,"Unit 4 (With calculator) Discrete and Decision Mathematics",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2025-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2025-Unit%204%20%28With%20calculator%29%20Discrete%20and%20Decision%20Mathematics-MS.pdf
Unit3,Summer,2025,1,"Unit 3, (With calculator) Statistics",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2025-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2025-Unit%203%2C%20%28With%20calculator%29%20Statistics-MS.pdf
Unit2,Summer,2025,1,"Unit 2, (With calculator) Mechanics",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2025-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2025-Unit%202%2C%20%28With%20calculator%29%20Mechanics-MS.pdf
Unit1,Summer,2025,1,"Unit 1, (With calculator) Pure Mathematics",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2025-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2025-Unit%201%2C%20%28With%20calculator%29%20Pure%20Mathematics-MS.pdf
Unit4,Summer,2025,0,"Unit 4 (With calculator) Discrete and Decision Mathematics",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2025-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2025-Unit%204%20%28With%20calculator%29%20Discrete%20and%20Decision%20Mathematics-Paper.pdf
Unit3,Summer,2025,0,"Unit 3, (With calculator) Statistics",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2025-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2025-Unit%203%2C%20%28With%20calculator%29%20Statistics-Paper.pdf
Unit2,Summer,2025,0,"Unit 2, (With calculator) Mechanics",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2025-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2025-Unit%202%2C%20%28With%20calculator%29%20Mechanics-Paper.pdf
Unit1,Summer,2025,0,"Unit 1, (With calculator) Pure Mathematics",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2025-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2025-Unit%201%2C%20%28With%20calculator%29%20Pure%20Mathematics-Paper.pdf
Unit4,Summer,2024,1,"Unit 4, (With calculator) Discrete and Decision Mathematics",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2024-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2024-Unit%204%2C%20%28With%20calculator%29%20Discrete%20and%20Decision%20Mathematics-MS.pdf
Unit3,Summer,2024,1,"Unit 3, (With calculator) Statistics",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2024-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2024-Unit%203%2C%20%28With%20calculator%29%20Statistics-MS.pdf
Unit2,Summer,2024,1,"Unit 2, (With calculator) Mechanics",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2024-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2024-Unit%202%2C%20%28With%20calculator%29%20Mechanics-MS.pdf
Unit1,Summer,2024,1,"Unit 1, (With calculator) Pure Mathematics",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2024-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2024-Unit%201%2C%20%28With%20calculator%29%20Pure%20Mathematics-MS_0.pdf
Unit4,Summer,2022,1,"Unit 4, (With calculator) Discrete and Decision Mathematics",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2022-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2022-Unit%204%2C%20%28With%20calculator%29%20Discrete%20and%20Decision%20Mathematics-MS.pdf
Unit4,Summer,2024,0,"Unit 4, (With calculator) Discrete and Decision Mathematics",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2024-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2024-Unit%204%2C%20%28With%20calculator%29%20Discrete%20and%20Decision%20Mathematics-Paper.pdf
Unit3,Summer,2024,0,"Unit 3, (With calculator) Statistics",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2024-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2024-Unit%203%2C%20%28With%20calculator%29%20Statistics-Paper.pdf
Unit2,Summer,2024,0,"Unit 2, (With calculator) Mechanics",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2024-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2024-Unit%202%2C%20%28With%20calculator%29%20Mechanics-Paper.pdf
